Date,Month,Day,Year,Unemployment_Rate,Age_Group
2015-06-01,6,1,2015,18.8,20 to 24 years
2015-07-01,7,1,2015,14.3,20 to 24 years
2015-08-01,8,1,2015,9.9,20 to 24 years
2015-09-01,9,1,2015,0.4,20 to 24 years
2015-10-01,10,1,2015,6.9,20 to 24 years
2015-11-01,11,1,2015,7.0,20 to 24 years
2015-12-01,12,1,2015,7.3,20 to 24 years
2016-01-01,1,1,2016,8.9,20 to 24 years
2016-02-01,2,1,2016,7.3,20 to 24 years
2016-03-01,3,1,2016,8.8,20 to 24 years
2016-04-01,4,1,2016,3.9,20 to 24 years
2016-05-01,5,1,2016,1.3,20 to 24 years
2016-06-01,6,1,2016,11.8,20 to 24 years
2016-07-01,7,1,2016,11.5,20 to 24 years
2016-08-01,8,1,2016,6.2,20 to 24 years
2016-09-01,9,1,2016,4.9,20 to 24 years
2016-10-01,10,1,2016,5.0,20 to 24 years
2016-11-01,11,1,2016,4.9,20 to 24 years
2016-12-01,12,1,2016,1.8,20 to 24 years
2017-01-01,1,1,2017,5.0,20 to 24 years
2017-02-01,2,1,2017,5.0,20 to 24 years
2017-04-01,4,1,2017,0.3,20 to 24 years
2017-05-01,5,1,2017,9.3,20 to 24 years
2017-06-01,6,1,2017,6.1,20 to 24 years
2017-07-01,7,1,2017,1.8,20 to 24 years
2017-08-01,8,1,2017,4.8,20 to 24 years
2017-09-01,9,1,2017,5.4,20 to 24 years
2017-10-01,10,1,2017,14.0,20 to 24 years
2017-11-01,11,1,2017,5.4,20 to 24 years
2017-12-01,12,1,2017,1.9,20 to 24 years
2018-01-01,1,1,2018,0.9,20 to 24 years
2018-02-01,2,1,2018,4.5,20 to 24 years
2018-03-01,3,1,2018,5.1,20 to 24 years
2018-04-01,4,1,2018,4.7,20 to 24 years
2018-05-01,5,1,2018,2.5,20 to 24 years
2018-06-01,6,1,2018,7.3,20 to 24 years
2018-07-01,7,1,2018,0.8,20 to 24 years
2018-08-01,8,1,2018,5.2,20 to 24 years
2018-09-01,9,1,2018,3.4,20 to 24 years
2018-10-01,10,1,2018,1.9,20 to 24 years
2018-12-01,12,1,2018,5.1,20 to 24 years
2019-01-01,1,1,2019,4.2,20 to 24 years
2019-02-01,2,1,2019,0.9,20 to 24 years
2019-04-01,4,1,2019,2.6,20 to 24 years
2019-05-01,5,1,2019,7.0,20 to 24 years
2019-06-01,6,1,2019,0.3,20 to 24 years
2019-07-01,7,1,2019,3.0,20 to 24 years
2019-08-01,8,1,2019,8.2,20 to 24 years
2019-09-01,9,1,2019,4.8,20 to 24 years
2019-10-01,10,1,2019,5.7,20 to 24 years
2019-11-01,11,1,2019,3.0,20 to 24 years
2019-12-01,12,1,2019,0.3,20 to 24 years
2020-04-01,4,1,2020,9.1,20 to 24 years
2020-05-01,5,1,2020,7.6,20 to 24 years
2020-06-01,6,1,2020,18.9,20 to 24 years
2020-07-01,7,1,2020,9.9,20 to 24 years
2020-08-01,8,1,2020,13.7,20 to 24 years
2020-09-01,9,1,2020,7.3,20 to 24 years
2020-10-01,10,1,2020,10.7,20 to 24 years
2020-11-01,11,1,2020,1.4,20 to 24 years
2020-12-01,12,1,2020,4.9,20 to 24 years
2021-01-01,1,1,2021,2.9,20 to 24 years
2021-02-01,2,1,2021,0.3,20 to 24 years
2021-03-01,3,1,2021,0.9,20 to 24 years
2021-04-01,4,1,2021,2.3,20 to 24 years
2021-05-01,5,1,2021,2.5,20 to 24 years
2021-06-01,6,1,2021,12.8,20 to 24 years
2021-07-01,7,1,2021,16.7,20 to 24 years
2021-08-01,8,1,2021,12.5,20 to 24 years
2021-09-01,9,1,2021,13.4,20 to 24 years
2021-10-01,10,1,2021,0.8,20 to 24 years
2021-12-01,12,1,2021,1.2,20 to 24 years
2022-01-01,1,1,2022,1.5,20 to 24 years
2022-02-01,2,1,2022,1.6,20 to 24 years
2022-03-01,3,1,2022,3.1,20 to 24 years
2022-04-01,4,1,2022,2.9,20 to 24 years
2022-05-01,5,1,2022,1.3,20 to 24 years
2022-06-01,6,1,2022,4.0,20 to 24 years
2022-07-01,7,1,2022,8.6,20 to 24 years
2022-08-01,8,1,2022,12.0,20 to 24 years
2022-09-01,9,1,2022,4.0,20 to 24 years
2022-10-01,10,1,2022,4.9,20 to 24 years
2022-11-01,11,1,2022,3.7,20 to 24 years
2022-12-01,12,1,2022,3.7,20 to 24 years
2023-01-01,1,1,2023,2.4,20 to 24 years
2023-03-01,3,1,2023,2.2,20 to 24 years
2023-04-01,4,1,2023,2.7,20 to 24 years
2023-05-01,5,1,2023,6.8,20 to 24 years
2023-06-01,6,1,2023,9.8,20 to 24 years
2023-07-01,7,1,2023,10.3,20 to 24 years
2023-08-01,8,1,2023,12.5,20 to 24 years
2023-09-01,9,1,2023,8.4,20 to 24 years
2023-10-01,10,1,2023,8.4,20 to 24 years
2023-11-01,11,1,2023,4.0,20 to 24 years
2024-01-01,1,1,2024,0.3,20 to 24 years
2024-02-01,2,1,2024,4.1,20 to 24 years
2024-03-01,3,1,2024,4.9,20 to 24 years
2024-04-01,4,1,2024,0.8,20 to 24 years
2024-05-01,5,1,2024,3.1,20 to 24 years
2024-06-01,6,1,2024,5.9,20 to 24 years
2024-07-01,7,1,2024,9.6,20 to 24 years
2024-08-01,8,1,2024,11.7,20 to 24 years
2024-09-01,9,1,2024,7.7,20 to 24 years
2024-10-01,10,1,2024,4.1,20 to 24 years
2024-11-01,11,1,2024,7.3,20 to 24 years
2024-12-01,12,1,2024,10.7,20 to 24 years
2025-01-01,1,1,2025,13.3,20 to 24 years
2025-02-01,2,1,2025,6.8,20 to 24 years
2025-03-01,3,1,2025,5.9,20 to 24 years
2025-04-01,4,1,2025,1.4,20 to 24 years
2025-05-01,5,1,2025,6.4,20 to 24 years
2025-06-01,6,1,2025,1.7,20 to 24 years
2025-07-01,7,1,2025,10.0,20 to 24 years
2025-08-01,8,1,2025,10.7,20 to 24 years
2025-09-01,9,1,2025,7.7,20 to 24 years
2025-11-01,11,1,2025,6.3,20 to 24 years
2025-12-01,12,1,2025,4.3,20 to 24 years
2026-01-01,1,1,2026,13.9,20 to 24 years
2000-01-01,1,1,2000,1.7,25 to 34 years
2000-02-01,2,1,2000,1.9,25 to 34 years
2000-03-01,3,1,2000,2.3,25 to 34 years
2000-04-01,4,1,2000,0.5,25 to 34 years
