__typename,dateString,countryCode,countryName,sectorCode,sectorName,postingType,value
HiringLabSectoralPosting,2020-03-29,US,United States,techinfo,IT Systems & Solutions,TOTAL,87.4
HiringLabSectoralPosting,2020-03-29,US,United States,techsoftware,Software Development,TOTAL,93.22
HiringLabSectoralPosting,2020-03-30,US,United States,math,Data & Analytics,TOTAL,87.57
HiringLabSectoralPosting,2020-03-30,US,United States,techhelp,"IT Infrastructure, Operations & Support",TOTAL,86.33
HiringLabSectoralPosting,2020-03-30,US,United States,techinfo,IT Systems & Solutions,TOTAL,85.89
HiringLabSectoralPosting,2020-03-30,US,United States,techsoftware,Software Development,TOTAL,91.9
HiringLabSectoralPosting,2020-03-31,US,United States,math,Data & Analytics,TOTAL,86.01
HiringLabSectoralPosting,2020-03-31,US,United States,techhelp,"IT Infrastructure, Operations & Support",TOTAL,84.99
HiringLabSectoralPosting,2020-03-31,US,United States,techinfo,IT Systems & Solutions,TOTAL,84.36
HiringLabSectoralPosting,2020-03-31,US,United States,techsoftware,Software Development,TOTAL,90.41
HiringLabSectoralPosting,2020-04-01,US,United States,math,Data & Analytics,TOTAL,84.35
HiringLabSectoralPosting,2020-04-01,US,United States,techhelp,"IT Infrastructure, Operations & Support",TOTAL,83.64
HiringLabSectoralPosting,2020-04-01,US,United States,techinfo,IT Systems & Solutions,TOTAL,82.89
HiringLabSectoralPosting,2020-04-01,US,United States,techsoftware,Software Development,TOTAL,88.94
HiringLabSectoralPosting,2020-04-02,US,United States,math,Data & Analytics,TOTAL,82.9
HiringLabSectoralPosting,2020-04-02,US,United States,techhelp,"IT Infrastructure, Operations & Support",TOTAL,82.34
HiringLabSectoralPosting,2020-04-02,US,United States,techinfo,IT Systems & Solutions,TOTAL,81.56
HiringLabSectoralPosting,2020-04-02,US,United States,techsoftware,Software Development,TOTAL,87.62
HiringLabSectoralPosting,2020-04-03,US,United States,math,Data & Analytics,TOTAL,81.82
HiringLabSectoralPosting,2020-04-03,US,United States,techhelp,"IT Infrastructure, Operations & Support",TOTAL,81.45
HiringLabSectoralPosting,2020-04-03,US,United States,techinfo,IT Systems & Solutions,TOTAL,80.62
HiringLabSectoralPosting,2020-04-03,US,United States,techsoftware,Software Development,TOTAL,86.77
HiringLabSectoralPosting,2020-04-04,US,United States,math,Data & Analytics,TOTAL,80.71
HiringLabSectoralPosting,2020-04-04,US,United States,techhelp,"IT Infrastructure, Operations & Support",TOTAL,80.55
HiringLabSectoralPosting,2020-04-04,US,United States,techinfo,IT Systems & Solutions,TOTAL,79.67
HiringLabSectoralPosting,2020-04-04,US,United States,techsoftware,Software Development,TOTAL,85.84
HiringLabSectoralPosting,2020-04-05,US,United States,math,Data & Analytics,TOTAL,79.6
HiringLabSectoralPosting,2020-04-05,US,United States,techhelp,"IT Infrastructure, Operations & Support",TOTAL,79.6
HiringLabSectoralPosting,2020-04-05,US,United States,techinfo,IT Systems & Solutions,TOTAL,78.71
HiringLabSectoralPosting,2020-04-05,US,United States,techsoftware,Software Development,TOTAL,84.91
HiringLabSectoralPosting,2020-04-06,US,United States,math,Data & Analytics,TOTAL,78.37
HiringLabSectoralPosting,2020-04-06,US,United States,techhelp,"IT Infrastructure, Operations & Support",TOTAL,78.45
HiringLabSectoralPosting,2020-04-06,US,United States,techinfo,IT Systems & Solutions,TOTAL,77.62
HiringLabSectoralPosting,2020-04-06,US,United States,techsoftware,Software Development,TOTAL,83.91
HiringLabSectoralPosting,2020-04-07,US,United States,math,Data & Analytics,TOTAL,77.07
HiringLabSectoralPosting,2020-04-07,US,United States,techhelp,"IT Infrastructure, Operations & Support",TOTAL,77.35
HiringLabSectoralPosting,2020-04-07,US,United States,techinfo,IT Systems & Solutions,TOTAL,76.52
HiringLabSectoralPosting,2020-04-07,US,United States,techsoftware,Software Development,TOTAL,82.89
HiringLabSectoralPosting,2020-04-08,US,United States,math,Data & Analytics,TOTAL,76.12
HiringLabSectoralPosting,2020-04-08,US,United States,techhelp,"IT Infrastructure, Operations & Support",TOTAL,76.64
HiringLabSectoralPosting,2020-04-08,US,United States,techinfo,IT Systems & Solutions,TOTAL,75.61
HiringLabSectoralPosting,2020-04-08,US,United States,techsoftware,Software Development,TOTAL,82.14
HiringLabSectoralPosting,2020-04-09,US,United States,math,Data & Analytics,TOTAL,75.13
HiringLabSectoralPosting,2020-04-09,US,United States,techhelp,"IT Infrastructure, Operations & Support",TOTAL,76.01
HiringLabSectoralPosting,2020-04-09,US,United States,techinfo,IT Systems & Solutions,TOTAL,74.67
HiringLabSectoralPosting,2020-04-09,US,United States,techsoftware,Software Development,TOTAL,81.38
HiringLabSectoralPosting,2020-04-10,US,United States,math,Data & Analytics,TOTAL,74.19
HiringLabSectoralPosting,2020-04-10,US,United States,techhelp,"IT Infrastructure, Operations & Support",TOTAL,75.37
